label,name,description,source,coding_instructions,id,complete,header,input,double_enter,type,valid_values,show_valid_values,unknown,value_labels,logic_checks,logic_prompts,logic_must_be_true,calculated,equation,visible
"Injury from operation notes 5, AIS body region",iopinj5aisbr,The abbreviated injury scale (AIS) body region of the previous injury,AIS certified coder,Enter the AIS body region. If unknown code as 999.,no,no,no,yes,yes,qualitative,"1,2,3,4,5,6,7,8,9",yes,999,"""Head"",""Face"",""Neck"",""Thorax"",""Abdomen"",""Spine"",""Upper extremity"",""Lower extremity"",""Unspecified""",,,,no,,yes
"Injury from operation notes 5, AIS severity",iopinj5aiss,The abbreviated injury scale (AIS) severity of the previous injury,AIS certified coder,Enter the AIS severity. If unknown code as 999.,no,no,no,yes,yes,qualitative,"1,2,3,4,5,6,9",yes,999,"""Minor"",""Moderate"",""Serious"",""Severe"",""Critical"",""Maximum"",""Not further specified""",,,,no,,yes
"Injury from operation notes 6, free text description",iopinj6,A unique injury sustained by the participant,"Hospital record, intraoperative notes",Enter as free text. There should be only one injury per injury variable.,no,no,no,yes,no,text,,no,999,,,,,no,,yes
"Injury from operation notes 6, AIS body region",iopinj6aisbr,The abbreviated injury scale (AIS) body region of the previous injury,AIS certified coder,Enter the AIS body region. If unknown code as 999.,no,no,no,yes,yes,qualitative,"1,2,3,4,5,6,7,8,9",yes,999,"""Head"",""Face"",""Neck"",""Thorax"",""Abdomen"",""Spine"",""Upper extremity"",""Lower extremity"",""Unspecified""",,,,no,,yes
"Injury from operation notes 6, AIS severity",iopinj6aiss,The abbreviated injury scale (AIS) severity of the previous injury,AIS certified coder,Enter the AIS severity. If unknown code as 999.,no,no,no,yes,yes,qualitative,"1,2,3,4,5,6,9",yes,999,"""Minor"",""Moderate"",""Serious"",""Severe"",""Critical"",""Maximum"",""Not further specified""",,,,no,,yes
"Injury from post mortem report 1, free text description",pminj1,A unique injury sustained by the participant,"Hospital record, intraoperative notes",Enter as free text. There should be only one injury per injury variable.,no,no,no,yes,no,text,,no,999,,,,,no,,yes
"Injury from post mortem report 1, AIS body region",pminj1aisbr,The abbreviated injury scale (AIS) body region of the previous injury,AIS certified coder,Enter the AIS body region. If unknown code as 999.,no,no,no,yes,yes,qualitative,"1,2,3,4,5,6,7,8,9",yes,999,"""Head"",""Face"",""Neck"",""Thorax"",""Abdomen"",""Spine"",""Upper extremity"",""Lower extremity"",""Unspecified""",,,,no,,yes
"Injury from post mortem report 1, AIS severity",pminj1aiss,The abbreviated injury scale (AIS) severity of the previous injury,AIS certified coder,Enter the AIS severity. If unknown code as 999.,no,no,no,yes,yes,qualitative,"1,2,3,4,5,6,9",yes,999,"""Minor"",""Moderate"",""Serious"",""Severe"",""Critical"",""Maximum"",""Not further specified""",,,,no,,yes
"Injury from post mortem report 2, free text description",pminj2,A unique injury sustained by the participant,"Hospital record, intraoperative notes",Enter as free text. There should be only one injury per injury variable.,no,no,no,yes,no,text,,no,999,,,,,no,,yes
"Injury from post mortem report 2, AIS body region",pminj2aisbr,The abbreviated injury scale (AIS) body region of the previous injury,AIS certified coder,Enter the AIS body region. If unknown code as 999.,no,no,no,yes,yes,qualitative,"1,2,3,4,5,6,7,8,9",yes,999,"""Head"",""Face"",""Neck"",""Thorax"",""Abdomen"",""Spine"",""Upper extremity"",""Lower extremity"",""Unspecified""",,,,no,,yes
"Injury from post mortem report 2, AIS severity",pminj2aiss,The abbreviated injury scale (AIS) severity of the previous injury,AIS certified coder,Enter the AIS severity. If unknown code as 999.,no,no,no,yes,yes,qualitative,"1,2,3,4,5,6,9",yes,999,"""Minor"",""Moderate"",""Serious"",""Severe"",""Critical"",""Maximum"",""Not further specified""",,,,no,,yes
"Injury from post mortem report 3, free text description",pminj3,A unique injury sustained by the participant,"Hospital record, intraoperative notes",Enter as free text. There should be only one injury per injury variable.,no,no,no,yes,no,text,,no,999,,,,,no,,yes
"Injury from post mortem report 3, AIS body region",pminj3aisbr,The abbreviated injury scale (AIS) body region of the previous injury,AIS certified coder,Enter the AIS body region. If unknown code as 999.,no,no,no,yes,yes,qualitative,"1,2,3,4,5,6,7,8,9",yes,999,"""Head"",""Face"",""Neck"",""Thorax"",""Abdomen"",""Spine"",""Upper extremity"",""Lower extremity"",""Unspecified""",,,,no,,yes
"Injury from post mortem report 3, AIS severity",pminj3aiss,The abbreviated injury scale (AIS) severity of the previous injury,AIS certified coder,Enter the AIS severity. If unknown code as 999.,no,no,no,yes,yes,qualitative,"1,2,3,4,5,6,9",yes,999,"""Minor"",""Moderate"",""Serious"",""Severe"",""Critical"",""Maximum"",""Not further specified""",,,,no,,yes
"Injury from post mortem report 4, free text description",pminj4,A unique injury sustained by the participant,"Hospital record, intraoperative notes",Enter as free text. There should be only one injury per injury variable.,no,no,no,yes,no,text,,no,999,,,,,no,,yes
"Injury from post mortem report 4, AIS body region",pminj4aisbr,The abbreviated injury scale (AIS) body region of the previous injury,AIS certified coder,Enter the AIS body region. If unknown code as 999.,no,no,no,yes,yes,qualitative,"1,2,3,4,5,6,7,8,9",yes,999,"""Head"",""Face"",""Neck"",""Thorax"",""Abdomen"",""Spine"",""Upper extremity"",""Lower extremity"",""Unspecified""",,,,no,,yes
"Injury from post mortem report 4, AIS severity",pminj4aiss,The abbreviated injury scale (AIS) severity of the previous injury,AIS certified coder,Enter the AIS severity. If unknown code as 999.,no,no,no,yes,yes,qualitative,"1,2,3,4,5,6,9",yes,999,"""Minor"",""Moderate"",""Serious"",""Severe"",""Critical"",""Maximum"",""Not further specified""",,,,no,,yes
"Injury from post mortem report 5, free text description",pminj5,A unique injury sustained by the participant,"Hospital record, intraoperative notes",Enter as free text. There should be only one injury per injury variable.,no,no,no,yes,no,text,,no,999,,,,,no,,yes
"Injury from post mortem report 5, AIS body region",pminj5aisbr,The abbreviated injury scale (AIS) body region of the previous injury,AIS certified coder,Enter the AIS body region. If unknown code as 999.,no,no,no,yes,yes,qualitative,"1,2,3,4,5,6,7,8,9",yes,999,"""Head"",""Face"",""Neck"",""Thorax"",""Abdomen"",""Spine"",""Upper extremity"",""Lower extremity"",""Unspecified""",,,,no,,yes
"Injury from post mortem report 5, AIS severity",pminj5aiss,The abbreviated injury scale (AIS) severity of the previous injury,AIS certified coder,Enter the AIS severity. If unknown code as 999.,no,no,no,yes,yes,qualitative,"1,2,3,4,5,6,9",yes,999,"""Minor"",""Moderate"",""Serious"",""Severe"",""Critical"",""Maximum"",""Not further specified""",,,,no,,yes
"Injury from post mortem report 6, free text description",pminj6,A unique injury sustained by the participant,"Hospital record, intraoperative notes",Enter as free text. There should be only one injury per injury variable.,no,no,no,yes,no,text,,no,999,,,,,no,,yes
"Injury from post mortem report 6, AIS body region",pminj6aisbr,The abbreviated injury scale (AIS) body region of the previous injury,AIS certified coder,Enter the AIS body region. If unknown code as 999.,no,no,no,yes,yes,qualitative,"1,2,3,4,5,6,7,8,9",yes,999,"""Head"",""Face"",""Neck"",""Thorax"",""Abdomen"",""Spine"",""Upper extremity"",""Lower extremity"",""Unspecified""",,,,no,,yes
"Injury from post mortem report 6, AIS severity",pminj6aiss,The abbreviated injury scale (AIS) severity of the previous injury,AIS certified coder,Enter the AIS severity. If unknown code as 999.,no,no,no,yes,yes,qualitative,"1,2,3,4,5,6,9",yes,999,"""Minor"",""Moderate"",""Serious"",""Severe"",""Critical"",""Maximum"",""Not further specified""",,,,no,,yes
Test,testvar,Indicates whether this is a test record,,The option 1 is only used for testing purposes and should not be entered unless you have been specifically instructed to do so.,no,no,no,yes,no,qualitative,"0,1",no,,"""No"", ""Yes""",testvar == 1,"""You have indicated that this is a test record. Are you sure?""",no,no,,yes
Glasgow coma scale,gcs,,,,no,no,no,yes,yes,quantitative,"3,15",yes,999,,gcs == avpu,"""GCS and AVPU cannot be equal""",yes,yes,egcs + vgcs + mgcs,no
